cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4
2,Passivo Total,23739064.0,25485680.0,27182558.0,30115408.0,32645825.0,40239343.0,43342903.0,44378863.0,47616604.0,49630454.0,57252350.0,54143868.0,54898179.0,56672337.0,60510713.0
02.01,Captação de Clientes (Vista),,,,,,,,,,,,,,,
02.02,Captação de Mercado,,,,,,,,,,,,,,,
02.03,Recursos a Custo Amortizado,17671796.0,19654966.0,22625518.0,24526272.0,26797653.0,32884049.0,35187605.0,36076627.0,38695858.0,40931474.0,41548974.0,40096703.0,41776584.0,43269490.0,44850550.0
02.03.01,Depósitos Totais,,,,,,,,,,,,,,,
02.04,Obrigações por Títulos e Valores,,,,,1092483.0,1354313.0,1328942.0,1257923.0,1275043.0,1525200.0,1448963.0,1746102.0,1542227.0,1541678.0,1683322.0
02.05,Provisões Contingentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02.07,Patrimônio Líquido (PL),2633973.0,2994121.0,3401295.0,3738848.0,4067582.0,8654814.0,9427352.0,9637260.0,9867222.0,10199212.0,10473014.0,10583898.0,10826682.0,11446302.0,11779802.0
02.07.01,Capital Social,1980139.0,2121765.0,2291065.0,2470313.0,2565892.0,2594681.0,4315017.0,4315017.0,4315017.0,4315017.0,4315017.0,4315017.0,4315017.0,4472130.0,4472131.0
02.07.05,Reservas de Lucros,666974.0,870185.0,1091406.0,1236955.0,1509091.0,1685190.0,369718.0,375260.0,393522.0,399588.0,863222.0,872345.0,866497.0,893696.0,1319752.0
