cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
3.01,Receitas da Intermediação Financeira,7205511.0,7714794.0,8101814.0,7059552.0,7845785.0,9118997.0,8269847.0,2637300.0,2838609.0,3319634.0,3019258.0,3549960.0,4263172.0,3580256.0,3914618.0,3492501.0,2933451.0,4040116.0,2616469.0,3861774.0,4165301.0,4366707.0
3.02,Despesas da Intermediação Financeira,-4549854.0,-3521368.0,-3322289.0,-3031258.0,-3095584.0,-3278117.0,-2735818.0,-1163683.0,-1394978.0,-1444678.0,-1597213.0,-1689212.0,-2087122.0,-1855214.0,-1715099.0,-1904054.0,-1899890.0,-2192067.0,-2177367.0,-1664135.0,-2755374.0,-3175286.0
3.03,Resultado Bruto Intermediação Financeira,2655657.0,4193426.0,4779525.0,4028294.0,4750201.0,5840880.0,5534029.0,1473617.0,1443631.0,1874956.0,1422045.0,1860748.0,2176050.0,1725042.0,2199519.0,1588447.0,1033561.0,1848049.0,439102.0,2197639.0,1409927.0,1191421.0
3.04,Outras Despesas/Receitas Operacionais,-2606494.0,-4465666.0,-4457663.0,-3629810.0,-4186443.0,-4954928.0,-4510433.0,-1158435.0,-1319072.0,-1730737.0,-1201576.0,-1686771.0,-2037960.0,-1553828.0,-2022553.0,-1432283.0,-852681.0,-1644819.0,-636745.0,-2230782.0,-1338154.0,-1003898.0
3.05,Resultado Antes dos Tributos sobre o Lucro,143893.0,-146172.0,243293.0,198289.0,621815.0,627378.0,727476.0,227562.0,122810.0,139110.0,178801.0,156570.0,132623.0,154850.0,147633.0,152811.0,156854.0,170456.0,48108.0,59926.0,122099.0,157331.0
3.06,Imposto de Renda e Contribuição Social,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.07,Resultado Líquido Operações Continuadas,143893.0,-146172.0,243293.0,198289.0,621815.0,627378.0,727476.0,227562.0,122810.0,139110.0,178801.0,156570.0,132623.0,154850.0,147633.0,152811.0,156854.0,170456.0,48108.0,59926.0,122099.0,157331.0
3.08,Resultado Líquido Operações Descontinuadas,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
3.09,Lucro/Prejuízo Consolidado do Período,,,,,,,,,,,,,,,,,,,,59926.0,122099.0,157331.0
3.99,Lucro por Ação (Geral),0.27,-0.27,0.45,0.18,0.54,0.52,0.6,0.19,0.0,0.0,0.53,0.12,0.0,0.0,0.46,0.12,0.0,0.0,0.42,0.05,0.0,0.0
3.99.01.01,LPA - Ações Ordinárias (ON),0.27,-0.27,0.45,0.18,0.54,0.52,0.6,0.19,,,0.53,0.12,,,0.46,0.12,,,0.42,0.05,,
3.99.01.02,LPA - Ações Preferenciais (PN),,,,,,,,,,,,,,,,,,,,0.05,,
