cd_conta_padrao,ds_conta_padrao,2015-T4,2016-T4,2017-T4,2018-T4,2019-T4,2020-T4,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,8780467.0,8285466.0,8799671.0,9273730.0,10000738.0,13449080.0,15045370.0,14925450.0,14383483.0,14764712.0,16014008.0,17701368.0,17625782.0,19463408.0,20548981.0,23178238.0,24750.777,25041.861,26994482.0,27333641.0,28656693.0,29292312.0
2.01,Passivo Circulante,281140.0,865734.0,1151960.0,1671893.0,2044068.0,2434449.0,1792181.0,1916857.0,1816027.0,1780847.0,1709632.0,1846744.0,2076130.0,2056897.0,2199505.0,2179275.0,2168.108,2106.675,2076741.0,2071569.0,2208899.0,2233998.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,865734.0,0.0,0.0,2044068.0,2434449.0,,,,,,,,,,,,,,,,
2.01.02,Fornecedores,,,,,,,,,,,,,,,,,,,,,,
2.01.03,Obrigações Fiscais,,,,,,,,,,,,,,,,,,,,,,
2.01.04,Empréstimos e Financiamentos,,,,,,,,,,,,,,,,,,,,,,
2.01.05,Outras Obrigações,,,,,,,,,,,,,,,,,,,,,,
2.01.06,Provisões,,,,,,,,,,,,,,,,,,,,,,
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,
2.02,Passivo Não Circulante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22671269.0,24007263.0,24428880.0
2.02.01,Empréstimos e Financiamentos,,,,,,,,,,,,,,,,,,,,16193991.0,17324592.0,17082215.0
2.02.02,Outras Obrigações,,,,,,,,,,,,,,,,,,,,4727350.0,3495771.0,4079951.0
2.02.03,Tributos Diferidos,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
2.02.04,Provisões,,,,,,,,,,,,,,,,,,,,1749928.0,3186900.0,3266714.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,,,,,,,,,,,,,,,,,,,,,,
2.02.06,Lucros e Receitas a Apropriar,,,,,,,,,,,,,,,,,,,,,,
2.03,Patrimônio Líquido Consolidado,7220376.0,6059043.0,6430136.0,6654338.0,7001314.0,10082186.0,12377234.0,12097274.0,11649060.0,12065252.0,13366752.0,14863434.0,14489317.0,16225656.0,17086416.0,19686250.0,21071.504,21072.226,23106954.0,26057.0,13066.0,13374.0
2.03.01,Capital Social Realizado,335924.0,46264.0,103452.0,91130.0,67049.0,531994.0,,,,,,,,,,,,,,,,
2.03.02,Reservas de Capital,2753347.0,3840264.0,4949358.0,5749153.0,6245729.0,7217474.0,,,,,,,,,,,,,,,,
2.03.03,Reservas de Reavaliação,499786.0,483917.0,398003.0,358692.0,345394.0,2010735.0,,,,,,,,,,,,,,,,
2.03.04,Reservas de Lucros,934480.0,282756.0,88016.0,25097.0,10852.0,59711.0,,,,,,,,,,,,,,,,
2.03.05,Lucros/Prejuízos Acumulados,2391325.0,1152816.0,760003.0,319096.0,125800.0,59639.0,,,,,,,,,,,,,,,,
2.03.06,Ajustes de Avaliação Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
2.03.07,Ajustes Acumulados de Conversão,78226.0,84405.0,90287.0,35675.0,51583.0,37440.0,,,,,,,,,,,,,,,,
2.03.08,Outros Resultados Abrangentes,227288.0,168621.0,41017.0,75495.0,131457.0,142435.0,,,,,,,,,,,,,,,,
2.03.09,Participação dos Acionistas Não Controladores,,,,,23450.0,22758.0,,,,,,,,,,,,,,,,
